2023-03-10 06:27:59 status not-installed tasksel-data:all <none>
2023-03-10 06:27:59 remove tasksel:all 3.68+deb11u1 <none>
2023-03-10 06:27:59 status half-configured tasksel:all 3.68+deb11u1
2023-03-10 06:27:59 status half-installed tasksel:all 3.68+deb11u1
2023-03-10 06:27:59 status config-files tasksel:all 3.68+deb11u1
2023-03-10 06:27:59 startup packages configure
2023-03-10 06:27:59 trigproc dbus:arm64 1.12.24-0+deb11u1 <none>
2023-03-10 06:27:59 status half-configured dbus:arm64 1.12.24-0+deb11u1
2023-03-10 06:27:59 status installed dbus:arm64 1.12.24-0+deb11u1
2023-03-10 06:27:59 trigproc mailcap:all 3.69 <none>
2023-03-10 06:27:59 status half-configured mailcap:all 3.69
2023-03-10 06:27:59 status installed mailcap:all 3.69
2023-03-10 06:27:59 trigproc libc-bin:arm64 2.31-13+rpt2+rpi1+deb11u5 <none>
2023-03-10 06:27:59 status half-configured libc-bin:arm64 2.31-13+rpt2+rpi1+deb11u5
2023-03-10 06:28:00 status installed libc-bin:arm64 2.31-13+rpt2+rpi1+deb11u5
2023-03-10 06:28:01 startup packages purge
2023-03-10 06:28:01 purge cifs-utils:arm64 2:6.11-3.1+deb11u1 <none>
2023-03-10 06:28:01 status config-files cifs-utils:arm64 2:6.11-3.1+deb11u1
2023-03-10 06:28:01 status not-installed cifs-utils:arm64 <none>
2023-03-10 06:28:01 purge tasksel:all 3.68+deb11u1 <none>
2023-03-10 06:28:01 status config-files tasksel:all 3.68+deb11u1
2023-03-10 06:28:01 status not-installed tasksel:all <none>
2023-03-10 06:28:01 purge vim-tiny:arm64 2:8.2.2434-3+deb11u1 <none>
2023-03-10 06:28:01 status config-files vim-tiny:arm64 2:8.2.2434-3+deb11u1
2023-03-10 06:28:01 status not-installed vim-tiny:arm64 <none>
2023-03-10 06:28:01 purge userconf-pi:all 0.5 <none>
2023-03-10 06:28:01 status config-files userconf-pi:all 0.5
2023-03-10 06:28:01 status not-installed userconf-pi:all <none>
2023-03-10 06:28:01 purge man-db:arm64 2.9.4-2 <none>
2023-03-10 06:28:01 status config-files man-db:arm64 2.9.4-2
2023-03-10 06:28:01 status not-installed man-db:arm64 <none>
2023-03-10 06:28:01 purge dpkg-dev:all 1.20.12 <none>
2023-03-10 06:28:01 status config-files dpkg-dev:all 1.20.12
2023-03-10 06:28:01 status not-installed dpkg-dev:all <none>
2023-03-10 06:28:01 purge libfreetype6-dev:arm64 2.10.4+dfsg-1+deb11u1 <none>
2023-03-10 06:28:01 status config-files libfreetype6-dev:arm64 2.10.4+dfsg-1+deb11u1
2023-03-10 06:28:02 status not-installed libfreetype6-dev:arm64 <none>
2023-03-10 06:28:02 purge gdb:arm64 10.1-1.7 <none>
2023-03-10 06:28:02 status config-files gdb:arm64 10.1-1.7
2023-03-10 06:28:02 status not-installed gdb:arm64 <none>
2023-03-10 06:28:02 purge vim-common:all 2:8.2.2434-3+deb11u1 <none>
2023-03-10 06:28:02 status config-files vim-common:all 2:8.2.2434-3+deb11u1
2023-03-10 06:28:02 status not-installed vim-common:all <none>
2023-03-10 06:28:02 purge pkg-config:arm64 0.29.2-1 <none>
2023-03-10 06:28:02 status config-files pkg-config:arm64 0.29.2-1
2023-03-10 06:28:02 status not-installed pkg-config:arm64 <none>
2023-03-10 06:28:02 purge avahi-daemon:arm64 0.8-5+deb11u1 <none>
